ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
ActionType,1,"System.String",string
AdditionalFields,2,"System.Object",dynamic
AppGuardContainerId,3,"System.String",string
DeviceId,4,"System.String",string
DeviceName,5,"System.String",string
InitiatingProcessAccountDomain,6,"System.String",string
InitiatingProcessAccountName,7,"System.String",string
InitiatingProcessAccountObjectId,8,"System.String",string
InitiatingProcessAccountSid,9,"System.String",string
InitiatingProcessAccountUpn,10,"System.String",string
InitiatingProcessCommandLine,11,"System.String",string
InitiatingProcessFileName,12,"System.String",string
InitiatingProcessFolderPath,13,"System.String",string
InitiatingProcessId,14,"System.Int64",long
InitiatingProcessIntegrityLevel,15,"System.String",string
InitiatingProcessMD5,16,"System.String",string
InitiatingProcessParentFileName,17,"System.String",string
InitiatingProcessParentId,18,"System.Int64",long
InitiatingProcessSHA1,19,"System.String",string
InitiatingProcessSHA256,20,"System.String",string
InitiatingProcessTokenElevation,21,"System.String",string
InitiatingProcessFileSize,22,"System.Int64",long
InitiatingProcessVersionInfoCompanyName,23,"System.String",string
InitiatingProcessVersionInfoProductName,24,"System.String",string
InitiatingProcessVersionInfoProductVersion,25,"System.String",string
InitiatingProcessVersionInfoInternalFileName,26,"System.String",string
InitiatingProcessVersionInfoOriginalFileName,27,"System.String",string
InitiatingProcessVersionInfoFileDescription,28,"System.String",string
LocalIP,29,"System.String",string
LocalIPType,30,"System.String",string
LocalPort,31,"System.Int32",int
MachineGroup,32,"System.String",string
Protocol,33,"System.String",string
RemoteIP,34,"System.String",string
RemoteIPType,35,"System.String",string
RemotePort,36,"System.Int32",int
RemoteUrl,37,"System.String",string
ReportId,38,"System.Int64",long
TimeGenerated,39,"System.DateTime",datetime
Timestamp,40,"System.DateTime",datetime
InitiatingProcessParentCreationTime,41,"System.DateTime",datetime
InitiatingProcessCreationTime,42,"System.DateTime",datetime
InitiatingProcessSessionId,43,"System.Int64",long
IsInitiatingProcessRemoteSession,44,"System.SByte",bool
InitiatingProcessRemoteSessionDeviceName,45,"System.String",string
InitiatingProcessRemoteSessionIP,46,"System.String",string
InitiatingProcessUniqueId,47,"System.String",string
SourceSystem,48,"System.String",string
Type,49,"System.String",string
